decade,manual_love_count,manual_swears_count,manual_money_count,manual_violence_count,manual_drugs_count,manual_gendered_count,manual_sadness_count,manual_joy_count,manual_yes_count,manual_no_count,unique_words,total_words,featured_count,producer_count,writer_count
1980s,2.3333333333333335,11.183333333333334,2.2055555555555557,3.2555555555555555,0.35,75.58333333333333,0.4555555555555555,0.7777777777777778,0.9500000000000001,13.661111111111111,263.42777777777775,615.1888888888889,0.4166666666666667,1.7777777777777777,3.561111111111111
1990s,4.161111111111111,13.533333333333333,2.988888888888889,3.822222222222222,0.9055555555555556,82.54444444444444,0.8388888888888889,0.8055555555555556,1.4944444444444445,16.37222222222222,290.0055555555556,706.0666666666667,0.6555555555555556,1.3777777777777778,4.294444444444444
2000s,3.315,11.26,2.545,2.645,0.5,70.955,0.825,1.2550000000000001,1.1,13.3,264.3,621.51,0.5700000000000001,1.8350000000000002,4.425
2010s,2.6222222222222222,15.166666666666666,2.977777777777778,4.605555555555556,1.4611111111111112,64.1277777777778,0.7111111111111111,0.911111111111111,0.6833333333333333,11.622222222222222,254.7722222222222,612.7777777777778,0.6444444444444445,1.8333333333333333,4.2444444444444445
2020s,3.75,12.11,3.46,2.9699999999999998,0.595,60.915,0.835,1.0799999999999998,1.01,13.65,216.815,591.21,0.39,1.9649999999999999,4.1
