,top_words,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word0_count,word1_count,word2_count,word3_count,word4_count,word5_count,word6_count,word7_count,word8_count,word9_count,word10_count,word11_count,word12_count,word13_count,word14_count,word15_count,word16_count,word17_count,word18_count,word19_count
1980s,got nigga one yo man come em aint say go make shit time fuck back see said might never want,got,nigga,one,yo,man,come,em,aint,say,go,make,shit,time,fuck,back,see,said,might,never,want,1.0,0.798951048951049,0.7167832167832168,0.715034965034965,0.6958041958041958,0.6503496503496503,0.6486013986013986,0.5786713286713286,0.5646853146853147,0.548951048951049,0.5227272727272727,0.493006993006993,0.48776223776223776,0.4807692307692308,0.43356643356643354,0.4195804195804196,0.39335664335664333,0.38986013986013984,0.38636363636363635,0.3723776223776224
1990s,nigga got shit aint one back love see man time make go fuck wanna yo come life way never yall,nigga,got,shit,aint,one,back,love,see,man,time,make,go,fuck,wanna,yo,come,life,way,never,yall,1.0,0.7727759914255091,0.564844587352626,0.5380493033226152,0.4630225080385852,0.41586280814576637,0.41479099678456594,0.4115755627009646,0.3729903536977492,0.3687031082529475,0.3504823151125402,0.32690246516613075,0.3204715969989282,0.3129689174705252,0.3086816720257235,0.3022508038585209,0.28938906752411575,0.2883172561629153,0.28188638799571275,0.2647374062165059
2000s,nigga got aint shit go see fuck love one back man say bitch em never time come money make might,nigga,got,aint,shit,go,see,fuck,love,one,back,man,say,bitch,em,never,time,come,money,make,might,1.0,0.9507246376811594,0.672463768115942,0.5855072463768116,0.5594202898550724,0.553623188405797,0.5217391304347826,0.4971014492753623,0.48840579710144927,0.4666666666666667,0.44782608695652176,0.4434782608695652,0.41739130434782606,0.41594202898550725,0.40144927536231884,0.3884057971014493,0.37681159420289856,0.3710144927536232,0.3695652173913043,0.35942028985507246
2010s,nigga got fuck bitch shit aint back might time go one see never love em make take want put tell,nigga,got,fuck,bitch,shit,aint,back,might,time,go,one,see,never,love,em,make,take,want,put,tell,1.0,0.5003723008190618,0.3983618763961281,0.383469843633656,0.33358153387937456,0.33060312732688013,0.21742367833209233,0.21593447505584512,0.19955323901712585,0.19731943410275501,0.19657483246463142,0.18689501116902457,0.18317200297840655,0.17870439314966494,0.17647058823529413,0.16604616530156366,0.16157855547282204,0.15934475055845124,0.15711094564408043,0.1563663440059568
2020s,nigga got shit aint bitch love go back never fuck want time right one ayy wanna might see uh money,nigga,got,shit,aint,bitch,love,go,back,never,fuck,want,time,right,one,ayy,wanna,might,see,uh,money,1.0,0.7508532423208191,0.5511945392491467,0.5298634812286689,0.4197952218430034,0.41723549488054607,0.3660409556313993,0.36006825938566556,0.35921501706484643,0.3532423208191126,0.30204778156996587,0.2858361774744027,0.2781569965870307,0.27559726962457337,0.2636518771331058,0.26109215017064846,0.24914675767918087,0.23293515358361774,0.23208191126279865,0.2226962457337884
