,positive,negative,neutral,sadness,anger,joy,fear,love,surprise
pop,111,45,44,55,27,94,15,9,0
rap,72,52,76,42,53,88,8,9,0
rock,93,54,53,67,36,73,12,8,4
soul,151,22,27,44,15,111,8,21,1
