,manual_love_count,manual_money_count,manual_violence_count,manual_drugs_count,manual_gendered_count,manual_sadness_count,manual_joy_count,manual_yes_count,manual_no_count,unique_words,total_words,featured_count,producer_count,writer_count
pop,7.850000000000001,0.665,0.79,0.045,39.114999999999995,1.1749999999999998,0.79,0.7750000000000001,10.705,124.48499999999999,446.16,0.23500000000000001,1.845,3.529999999999999
rap,3.8600000000000003,3.0399999999999996,3.06,0.465,75.06,0.9550000000000001,1.28,1.355,14.85,285.18499999999995,688.465,0.595,1.98,5.050000000000001
rock,2.21,0.22000000000000003,0.715,0.09,25.055,0.185,0.52,0.5449999999999999,6.705000000000001,89.57,225.24,0.03,1.365,2.65
soul,8.12,0.26,0.16499999999999998,0.015000000000000003,26.24,0.225,1.45,1.06,6.904999999999999,95.745,271.78000000000003,0.045,1.355,1.7100000000000002
