,top_words,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word0_count,word1_count,word2_count,word3_count,word4_count,word5_count,word6_count,word7_count,word8_count,word9_count,word10_count,word11_count,word12_count,word13_count,word14_count,word15_count,word16_count,word17_count,word18_count,word19_count
pop,love got baby wanna go want time come make one feel see say girl back boy ooh really might night,love,got,baby,wanna,go,want,time,come,make,one,feel,see,say,girl,back,boy,ooh,really,might,night,1.0,0.7657657657657657,0.637065637065637,0.5521235521235521,0.5263835263835264,0.4864864864864865,0.42985842985842987,0.425997425997426,0.42213642213642216,0.3912483912483912,0.3783783783783784,0.3783783783783784,0.35006435006435005,0.34234234234234234,0.33719433719433717,0.3307593307593308,0.32175032175032175,0.3075933075933076,0.29987129987129985,0.296010296010296
rock,love might time way come one never got want ill make gonna say will ooh see baby go well said,love,might,time,way,come,one,never,got,want,ill,make,gonna,say,will,ooh,see,baby,go,well,said,1.0,0.895397489539749,0.8451882845188284,0.8242677824267782,0.8075313807531381,0.7907949790794979,0.7740585774058577,0.7071129707112971,0.6736401673640168,0.6150627615062761,0.5983263598326359,0.5941422594142259,0.5899581589958159,0.5857740585774058,0.5774058577405857,0.5606694560669456,0.5397489539748954,0.5230125523012552,0.5104602510460251,0.47280334728033474
rap,nigga got aint one go shit love back see fuck make man time never come say wanna yall life em,nigga,got,aint,one,go,shit,love,back,see,fuck,make,man,time,never,come,say,wanna,yall,life,em,1.0,0.825503355704698,0.5615212527964206,0.5369127516778524,0.5223713646532439,0.5,0.4966442953020134,0.4809843400447427,0.4697986577181208,0.4519015659955257,0.3713646532438479,0.3635346756152125,0.3523489932885906,0.348993288590604,0.3389261744966443,0.3277404921700224,0.32662192393736017,0.3221476510067114,0.319910514541387,0.3087248322147651
soul,love baby got come day might time right make see want aint say la back man ooh gonna give hey,love,baby,got,come,day,might,time,right,make,see,want,aint,say,la,back,man,ooh,gonna,give,hey,1.0,0.6628643852978454,0.5031685678073511,0.31305449936628643,0.311787072243346,0.30544993662864384,0.2877059569074778,0.2826362484157161,0.26869455006337134,0.23067173637515842,0.229404309252218,0.22306717363751585,0.22053231939163498,0.21292775665399238,0.19898605830164764,0.1964512040557668,0.19518377693282637,0.19011406844106463,0.19011406844106463,0.1888466413181242
